,,,,,,,,更新_20250502,
No.,得意先コード,組合コード,組合名,得意先名１,営業所,都道府県コード,都道府県名,組合員コード,
1,10100000-1,101000,ホクレン農業協同組合連合会,種苗課,岩手営業所,0001,北海道,,
2,10100102-1,101001,ようてい農業協同組合,真狩生産資材拠点センター,岩手営業所,0001,北海道,,
3,10100103-1,101001,ようてい農業協同組合,倶和安生産資材拠点センター,岩手営業所,0001,北海道,,
4,10101001-1,101010,浦幌町　農業協同組合,購買部資材店,岩手営業所,0001,北海道,,
5,10101002-1,101010,浦幌町　農業協同組合,上浦幌支所,岩手営業所,0001,北海道,,
6,10102000-1,101020,札幌市　農業協同組合,,岩手営業所,0001,北海道,,
7,10102001-1,101020,札幌市　農業協同組合,西経済センタ－営農係,岩手営業所,0001,北海道,,
8,10102003-1,101020,札幌市　農業協同組合,丘珠資材センター,岩手営業所,0001,北海道,,
9,10102004-1,101020,札幌市　農業協同組合,琴似店,岩手営業所,0001,北海道,,
10,10102400-1,101024,北石狩　農業協同組合,本所,岩手営業所,0001,北海道,,
11,10102403-1,101024,北石狩　農業協同組合,厚田経済センター,岩手営業所,0001,北海道,,
12,10102801-1,101028,当麻　農業協同組合,資材店,岩手営業所,0001,北海道,,
13,10102901-1,101029,上川中央　農業協同組合,上川支所資材店舗,岩手営業所,0001,北海道,,
14,10103200-1,101032,新おたる農業協同組合,本所,岩手営業所,0001,北海道,,
15,10103203-1,101032,新おたる農業協同組合,赤井川生産資材,岩手営業所,0001,北海道,,
16,10103205-1,101032,新おたる農業協同組合,銀山事業所,岩手営業所,0001,北海道,,
17,10103501-1,101035,オホ－ツクはまなす農業協同組合,生産資材課滝上店,岩手営業所,0001,北海道,,
18,10103502-1,101035,オホ－ツクはまなす農業協同組合,上渚滑支所,岩手営業所,0001,北海道,,
19,10103600-1,101036,津別農業協同組合,生産資材課,岩手営業所,0001,北海道,,
20,10103700-1,101037,釧路太田農業協同組合,購買課,岩手営業所,0001,北海道,,
21,10103800-1,101038,道東あさひ農業協同組合,生産資材課,岩手営業所,0001,北海道,,
22,10103900-1,101039,南るもい農業協同組合,本所,岩手営業所,0001,北海道,,
23,10103901-1,101039,るもい農業協同組合,増毛支所,岩手営業所,0001,北海道,,
24,10103902-1,101039,るもい農業協同組合,幌糠支所,岩手営業所,0001,北海道,,
25,10103903-1,101039,るもい農業協同組合,小平支所,岩手営業所,0001,北海道,,
26,10104000-1,101040,ひだか東農業協同組合,生産資材課,岩手営業所,0001,北海道,,
27,10104001-1,101040,ひだか東農業協同組合,荻伏事業所,岩手営業所,0001,北海道,,
28,10104002-1,101040,ひだか東農業協同組合,えりも資材,岩手営業所,0001,北海道,,
29,10104003-1,101040,ひだか東農業協同組合,幌別資材店,岩手営業所,0001,北海道,,
30,10104004-1,101040,ひだか東農業協同組合,様似支所,岩手営業所,0001,北海道,,
31,10104101-1,101041,陸別町農業協同組合,購買課,岩手営業所,0001,北海道,,
32,10104201-1,101042,摩周湖農業協同組合,生活店舗,岩手営業所,0001,北海道,,
33,10104300-1,101043,静内町農業協同組合,本所,岩手営業所,0001,北海道,,
34,10104701-1,101047,るもい農業協同組合,生産資材部,岩手営業所,0001,北海道,,
35,10104801-1,101048,るもい農業協同組合,遠別資材店,岩手営業所,0002,北海道,,
36,10104802-1,101048,るもい農業協同組合,資材店舗,岩手営業所,0001,北海道,,
37,10105001-1,101050,幌延町農業協同組合,生産資材センター,岩手営業所,0002,北海道,,
38,10105101-1,101051,稚内　農業協同組合,営農部経済課,岩手営業所,0001,北海道,,
39,10105201-1,101052,東宗谷　農業協同組合,猿払資材店,岩手営業所,0001,北海道,,
40,10105301-1,101053,中頓別　農業協同組合,資材課,岩手営業所,0001,北海道,,
41,10105902-1,101059,道東あさひ　農業協同組合,別海資材店舗,岩手営業所,0001,北海道,,
42,10106900-1,101069,門別町　農業協同組合,経済部,岩手営業所,0001,北海道,,
43,10107100-1,101071,北はるか農業協同組合,,岩手営業所,0001,北海道,,
44,10107101-1,101071,北はるか農業協同組合,下川支所,岩手営業所,0001,北海道,,
45,10107102-1,101071,北はるか農業協同組合,下川資材店,岩手営業所,0001,北海道,,
46,10107300-1,101073,福島町　農業協同組合,,岩手営業所,0001,北海道,,
47,10108000-1,101080,宗谷南農業協同組合,資材店舗,岩手営業所,0001,北海道,,
48,10108001-1,101080,宗谷南農業協同組合,Ａコープ歌登店,岩手営業所,0001,北海道,,
